Date,Provider Org Code,Provider Org Name,Total All,New_RTT_Periods,Completed_RTT_Pathways
2026-06-01,NT333,SPIRE WASHINGTON HOSPITAL,2132,876.0,880.0
2026-06-01,NT337,SPIRE LIVERPOOL HOSPITAL,2173,964.0,1292.0
2026-06-01,NT339,SPIRE REGENCY HOSPITAL,2197,950.0,700.0
2026-06-01,NT343,SPIRE THAMES VALLEY HOSPITAL,364,58.0,108.0
2026-06-01,NT344,SPIRE DUNEDIN HOSPITAL,293,92.0,162.0
2026-06-01,NT345,SPIRE CLARE PARK HOSPITAL,309,118.0,156.0
2026-06-01,NT347,SPIRE FYLDE COAST HOSPITAL,3410,912.0,1342.0
2026-06-01,NT348,SPIRE ELLAND HOSPITAL,1294,716.0,1054.0
2026-06-01,NT350,SPIRE METHLEY PARK HOSPITAL,935,720.0,894.0
2026-06-01,NT351,SPIRE HULL AND EAST RIDING HOSPITAL,2910,1118.0,1420.0
2026-06-01,NT364,SPIRE MONTEFIORE HOSPITAL,665,100.0,370.0
2026-06-01,NT3X3,SPIRE ST ANTHONY'S HOSPITAL,1017,484.0,212.0
2026-06-01,NT401,ALEXANDRA HOSPITAL,579,282.0,364.0
2026-06-01,NT402,BATH CLINIC,696,402.0,446.0
2026-06-01,NT403,BEARDWOOD HOSPITAL,2121,1276.0,1428.0
2026-06-01,NT404,BEAUMONT HOSPITAL,3498,1602.0,1472.0
2026-06-01,NT405,BISHOPS WOOD HOSPITAL,657,588.0,456.0
2026-06-01,NT406,BLACKHEATH HOSPITAL,1321,842.0,872.0
2026-06-01,NT408,CHAUCER HOSPITAL,869,502.0,566.0
2026-06-01,NT409,CHELSFIELD PARK HOSPITAL,720,524.0,558.0
2026-06-01,NT410,CHILTERN HOSPITAL,415,324.0,292.0
2026-06-01,NT411,CLEMENTINE CHURCHILL HOSPITAL,2145,1982.0,1650.0
2026-06-01,NT412,DROITWICH SPA HOSPITAL,1110,580.0,774.0
2026-06-01,NT416,HENDON HOSPITAL,1143,870.0,1062.0
2026-06-01,NT417,GORING HALL HOSPITAL,906,488.0,310.0
2026-06-01,NT418,HAMPSHIRE CLINIC,364,166.0,156.0
2026-06-01,NT419,HARBOUR HOSPITAL,170,52.0,80.0
2026-06-01,NT420,HIGHFIELD HOSPITAL,1083,472.0,560.0
2026-06-01,NT421,KINGS OAK HOSPITAL,1464,878.0,812.0
2026-06-01,NT422,LONDON INDEPENDENT HOSPITAL,4005,2502.0,2406.0
2026-06-01,NT423,MANOR HOSPITAL,696,144.0,208.0
2026-06-01,NT424,MERIDEN HOSPITAL,1897,1670.0,1548.0
2026-06-01,NT427,PARK HOSPITAL,2377,1172.0,886.0
2026-06-01,NT428,PRINCESS MARGARET HOSPITAL,59,88.0,68.0
2026-06-01,NT429,PRIORY HOSPITAL,547,374.0,402.0
2026-06-01,NT430,RIDGEWAY HOSPITAL,399,250.0,196.0
2026-06-01,NT431,RUNNYMEDE HOSPITAL,268,194.0,136.0
2026-06-01,NT433,SARUM ROAD HOSPITAL,256,66.0,122.0
2026-06-01,NT434,SAXON CLINIC,782,164.0,246.0
2026-06-01,NT435,SHELBURNE HOSPITAL,125,82.0,84.0
2026-06-01,NT436,SHIRLEY OAKS HOSPITAL,1057,650.0,650.0
2026-06-01,NT437,SLOANE HOSPITAL,703,574.0,492.0
2026-06-01,NT440,THORNBURY HOSPITAL,730,410.0,292.0
2026-06-01,NT441,THREE SHIRES HOSPITAL,3728,1654.0,1514.0
2026-06-01,NT443,WINTERBOURNE HOSPITAL,424,138.0,180.0
2026-06-01,NT446,ST EDMUNDS HOSPITAL,394,198.0,266.0
2026-06-01,NT447,DUCHY HOSPITAL,351,218.0,208.0
2026-06-01,NT448,HUDDERSFIELD PRIVATE HOSPITAL,1120,1008.0,996.0
